GroupKey,PrimaryKey,RelationKey,RelationType,Date,Value,DerivedFlag,DerivedLag,DerivedType
A1,A1,A,ROOT,2020-02-06,53.0,,,none
A1,A1,A,ROOT,2020-02-07,68.0,,,none
A1,A1,A,ROOT,2020-02-08,68.0,,,none
A1,A1,A,ROOT,2020-02-09,64.0,,,none
A1,A1,A,ROOT,2020-02-10,61.0,,,none
A1,A1,A,ROOT,2020-02-11,59.0,,,none
A1,A1,A,ROOT,2020-02-12,87.0,,,none
A1,A1,A,ROOT,2020-02-13,86.0,,,none
A1,A1,A,ROOT,2020-02-14,116.0,,,none
A1,A1,A,ROOT,2020-02-15,118.0,,,none
A1,A1,A,ROOT,2020-02-16,97.0,,,none
A1,A1,A,ROOT,2020-02-17,96.0,,,none
A1,A1,A,ROOT,2020-02-18,48.0,,,none
A1,A1,A,ROOT,2020-02-19,41.0,,,none
A1,A2,A1,RELATED,2020-01-01,25.0382824343736,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-02,18.323827351006283,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-03,25.586154510747942,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-04,20.477068233042782,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-05,22.9982118257874,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-06,21.37498034767802,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-07,20.3742290448154,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-08,21.876107126010037,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-09,24.19433844606538,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-10,16.91890335752422,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-11,20.68173740790661,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-12,30.954889228209403,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-13,29.859228983539847,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-14,22.18306051438335,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-15,27.727295723939008,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-16,22.32177653782114,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-17,18.779556377907745,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-18,15.664179976663492,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-19,12.28220595537275,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-20,15.937591567766276,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-21,10.220467299718967,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-22,10.927383622630048,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-23,12.813099247781016,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-24,9.468554458440128,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-25,12.90811724740518,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-26,13.153848235143329,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-27,13.621254297564173,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-28,14.495903873634589,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-29,12.018432389281276,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-30,14.34564473451364,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-01-31,21.603238801345515,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-01,23.84219708492486,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-02,24.727654240005908,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-03,34.30727021459507,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-04,40.06347249284537,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-05,40.35196501531624,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-06,38.8770070589976,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-07,33.57602853235445,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-08,38.42883475163071,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-09,52.13386877393479,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-10,55.98898365733744,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-11,62.09520836993837,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-12,71.40673787327262,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-13,63.13291023833346,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-14,60.84821124321137,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-15,30.07091779985083,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-16,24.366588666855936,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-17,16.02600332972681,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-18,16.373999138438837,1.0,3.0,Roll
A1,A2,A1,RELATED,2020-02-19,19.877098373741184,1.0,3.0,Roll
A1,A3,A1,RELATED,2020-01-01,21.85238049707745,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-02,19.08409681965527,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-03,18.480043702204465,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-04,20.411334415813663,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-05,13.336400214171183,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-06,25.03510540138146,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-07,26.556743927420055,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-08,25.36728558714256,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-09,22.463065388228696,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-10,18.50914471361561,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-11,18.9208017303588,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-12,16.48562578239986,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-13,17.628807900908207,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-14,12.970603535833767,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-15,14.508293375851316,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-16,10.228012159460707,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-17,12.09583128188633,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-18,11.897677792631718,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-19,8.147138495245212,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-20,14.402253626503123,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-21,17.057031846278843,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-22,13.00021369812828,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-23,13.214636924625143,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-24,11.633791026284667,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-25,8.48768686878947,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-26,19.086166285966662,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-27,28.420915480457985,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-28,31.50057855376337,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-29,26.77945035583097,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-30,40.9490630955111,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-01-31,44.551709644089655,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-01,29.125012516532934,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-02,35.14029106446869,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-03,35.08010561605795,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-04,38.547424407889736,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-05,49.06235416449899,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-06,66.32909340423768,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-07,45.69423072826249,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-08,63.61938709632947,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-09,64.4007888558106,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-10,28.6572532533146,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-11,17.42966218586592,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-12,14.929327669465714,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-13,17.7834293995026,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-14,16.389812946067178,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-15,3.8912691637594263,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-16,5.83256349913937,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-17,5.399322069925938,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-18,5.127626984928202,1.0,8.0,Roll
A1,A3,A1,RELATED,2020-02-19,6.924336162976289,1.0,8.0,Roll
A1,A4,A1,RELATED,2020-01-01,56.30554992324502,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-02,37.10836158902431,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-03,53.69697591523901,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-04,36.385629945822274,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-05,58.43722222013505,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-06,54.77201021887081,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-07,38.0323054458522,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-08,33.044870377826946,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-09,20.689191901132837,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-10,16.16425291086569,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-11,11.564947285063026,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-12,13.011166576194189,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-13,23.97764326234974,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-14,19.986946094938624,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-15,25.03132919305438,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-16,28.16282841553178,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-17,28.510400302155222,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-18,44.76666026070679,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-19,25.167915581194663,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-20,21.22441602841199,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-21,37.05515152949034,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-22,63.690609091625575,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-23,53.38702811771758,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-24,84.71222570375508,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-25,82.77742409065715,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-26,66.311190812167,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-27,105.88076471383532,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-28,73.59391341809818,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-29,91.50251106718127,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-30,72.98549027408059,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-01-31,127.17867926802244,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-01,105.28179543569586,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-02,120.2666026315321,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-03,128.95408357393654,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-04,85.25246401298347,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-05,70.90553201397411,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-06,54.55217466907114,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-07,65.95459081540054,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-08,39.4510826485079,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-09,45.390662844679696,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-10,10.461269334344165,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-11,11.968913884144625,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-12,16.207251028380693,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-13,12.050304365894824,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-14,18.75270884026427,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-15,18.456335920187176,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-16,13.743638877968593,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-17,24.83416505068915,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-18,24.62241243425472,1.0,13.0,Roll
A1,A4,A1,RELATED,2020-02-19,14.6160219534373,1.0,13.0,Roll
A1,A5,A1,RELATED,2020-01-01,43.88835451886048,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-02,50.24527867807723,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-03,41.682589596242856,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-04,42.60465591735346,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-05,36.729701763951006,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-06,38.56320928567032,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-07,20.13870880889293,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-08,16.199929101890532,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-09,30.0439997348554,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-10,14.836790163286713,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-11,16.951868519851143,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-12,16.809180667766146,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-13,14.989889495464526,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-14,22.23301142211032,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-15,32.55359236641451,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-16,24.01263162346793,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-17,25.62318122173525,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-18,13.284813546819024,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-19,23.396872030461317,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-20,43.57337393475003,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-21,38.618740966104575,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-22,33.579673686731965,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-23,53.902758904963896,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-24,65.34727828283211,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-25,67.34754832861994,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-26,33.937861250717724,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-27,61.854529024699296,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-28,67.5319480691516,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-29,131.39753326106214,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-30,134.30225579690585,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-01-31,105.77147337317864,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-01,150.7534852560115,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-02,88.3506165511099,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-03,82.15895407944872,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-04,58.48664251780708,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-05,57.32091503045827,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-06,16.438628014737606,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-07,32.87792339757985,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-08,26.656237628044227,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-09,9.15457768387271,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-10,11.310469089156877,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-11,14.167782100317604,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-12,7.173439829526502,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-13,9.080846782458988,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-14,7.141005454778052,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-15,20.13254370387426,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-16,23.80284817658689,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-17,19.97086875642928,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-18,8.552047028188362,1.0,14.0,Roll
A1,A5,A1,RELATED,2020-02-19,15.796251996035764,1.0,14.0,Roll
A1,A6,A1,RELATED,2020-01-01,166.7508806906632,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-02,174.43216308638108,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-03,190.8068105253893,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-04,194.27136319637103,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-05,170.64586640107893,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-06,187.9725301902677,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-07,190.9224262985842,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-08,177.16590338588549,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-09,224.05959401321547,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-10,216.602838601088,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-11,199.283908380907,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-12,172.10001473137407,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-13,175.30843549302253,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-14,201.6906570350331,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-15,155.12134292045764,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-16,142.66263006658946,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-17,150.1249398233348,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-18,120.08483767401488,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-19,108.17279897855492,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-20,81.11220814244324,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-21,95.50069330990644,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-22,106.6732972267583,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-23,100.55775006658791,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-24,115.09877184776636,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-25,81.59542255105329,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-26,133.62699368293812,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-27,158.00204521938397,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-28,179.2498342389582,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-29,221.5705121144261,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-30,227.3580785967611,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-01-31,225.5905249444056,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-01,241.1809293818616,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-02,291.29243035960326,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-03,318.77105456295675,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-04,362.5640712972189,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-05,370.4141230611827,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-06,507.937095659824,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-07,467.92049545159176,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-08,432.8510485025468,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-09,365.1495936039747,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-10,303.50648762783857,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-11,424.91030564438825,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-12,338.1414699589222,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-13,328.185507096097,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-14,229.43381324201732,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-15,210.317364764158,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-16,157.7924745274836,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-17,93.92010841447151,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-18,77.3459897225498,1.0,5.320491471497234,Coeff
A1,A6,A1,RELATED,2020-02-19,83.80957122543244,1.0,5.320491471497234,Coeff
A1,A7,A1,RELATED,2020-01-01,207.62308556577392,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-02,224.63272055709228,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-03,226.7980544643584,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-04,242.10273664000076,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-05,234.61104153252765,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-06,241.86736749865827,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-07,250.55325910892023,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-08,198.59492214265745,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-09,229.55582983596636,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-10,253.96887394652205,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-11,286.98705286761464,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-12,281.2862485197597,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-13,257.8343389677668,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-14,247.1151757571955,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-15,200.85628353273887,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-16,180.8352775888767,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-17,172.08930763008735,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-18,129.7087261523933,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-19,130.24759617561648,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-20,135.71757077697487,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-21,142.79363307621583,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-22,127.89442217965498,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-23,130.74133558782628,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-24,139.30947247454242,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-25,113.05731166822784,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-26,139.95571222921265,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-27,170.30471128220782,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-28,185.66924361897512,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-29,181.83797049570524,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-30,260.9427690942077,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-01-31,273.9814056816333,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-01,235.4287876743321,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-02,307.77120352995445,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-03,348.69970243116194,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-04,397.2789130323244,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-05,422.8804874484338,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-06,494.9228224098693,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-07,546.1563831418121,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-08,544.6958020692201,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-09,523.9671385129498,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-10,505.5968955415445,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-11,426.1081627697257,1.0,4.319676981895827,Coeff
A1,A7,A1,RELATED,2020-02-12,573.1553111820602,1.0,4.319676981895827,Coeff
